embedding,chunk,article,law
"frozenset({0, 16394, 10763, 82446, 10785, 21028, 35365, 14381, 28206, 84021, 62011, 10307, 13386, 33866, 10839, 10329, 63066, 10330, 15966, 24676, 101, 102, 26218, 10354, 117, 119, 122, 129, 130, 25225, 10378, 20109, 11414, 27287, 151, 10402, 163, 170, 10922, 10415, 33979, 52932, 33491, 39142, 10983, 15088, 73986, 11017, 13600, 29482, 60731, 49987, 25424, 14163, 18772, 31579, 27487, 44896, 38753, 12138, 57199, 60271, 43381, 10104, 10112, 10625, 12161, 10114, 10116, 10128, 17298, 53666, 10149, 10150, 61863, 57784, 90564, 17863, 13805, 14323, 10237, 12798})","Krivični zakonik | Posebni uslovi za krivično gonjenje za krivično delo učinjeno u inostranstvu | U slučaju iz člana 8. i člana 9. stav 1. ovog zakonika krivično gonjenje se može preduzeti samo ako se za krivično delo kažnjava i po zakonu zemlje u kojoj je ono učinjeno, osim kada postoji odobrenje republičkog javnog tužioca ili kada je to predviđeno potvrđenim međunarodnim ugovorom. ",Član 10  ,Krivični zakonik
"frozenset({0, 16394, 10763, 88090, 13853, 21028, 35365, 41005, 84021, 53309, 88639, 15935, 10307, 13386, 10839, 10329, 63066, 10330, 15966, 24676, 101, 55397, 102, 14952, 26218, 10354, 117, 10358, 119, 123, 130, 25225, 20109, 14477, 27287, 157, 42142, 10402, 163, 170, 10922, 10415, 33979, 15547, 10428, 51916, 33491, 11992, 10457, 10976, 39142, 73986, 11017, 69902, 26910, 42786, 37685, 60731, 49987, 36679, 25424, 14163, 18772, 11615, 27487, 38753, 12138, 57199, 43381, 10104, 10112, 10625, 10116, 10128, 17298, 10132, 10135, 10136, 13211, 53666, 10149, 10150, 61863, 17863, 10698, 91107, 11236, 10219, 13805, 14323, 16381, 12798})","Krivični zakonik | Posebni uslovi za krivično gonjenje za krivično delo učinjeno u inostranstvu | U slučaju iz člana 9. stav 2. ovog zako nika, ako je u pitanju delo koje je u vreme kad je izvršeno smatrano krivičnim delom prema opštim pravnim načelima priznatim u međunarodnom pravu, gonjenje se može preduzeti u Srbiji po odobrenju republičkog javnog tužioca, bez obzira na zakon zemlje u koj oj je krivično delo učinjeno. ",Član 10  ,Krivični zakonik
"frozenset({0, 16394, 10251, 29707, 10261, 11290, 21028, 21551, 84021, 43070, 15935, 46662, 66640, 40530, 10839, 57432, 13913, 15966, 24163, 101, 102, 14952, 10354, 117, 10358, 119, 18563, 25225, 20109, 11919, 143, 147, 151, 41112, 152, 42142, 60065, 163, 170, 10415, 23731, 15540, 33979, 51916, 27341, 32467, 10457, 90343, 52471, 82168, 73986, 11017, 64793, 79147, 47919, 39218, 11575, 39227, 90946, 49987, 25424, 13649, 18772, 84823, 22872, 11096, 63833, 33111, 38753, 12138, 10104, 10105, 12161, 10630, 59271, 10128, 10131, 10132, 11159, 12704, 10150, 34738, 81845, 10220, 10237, 12798})","Krivični zakonik | Uračunavanje pritvora i kazne izdržane u inostranstvu | Pritvor, svako drugo lišenje slobode u vezi sa krivičnim delom, lišenje slobode u toku postupka izručenja, kao i kazna koju j e učinilac izdržao po presudi inostr anog ili međunarodnog krivičnog suda uračunaće se u kaznu koju izrekne domaći sud za isto krivično delo, a ako kazne nisu iste vrste, uračunavanje će se izvršiti po oceni suda. ",Član 11  ,Krivični zakonik
"frozenset({0, 10243, 73091, 11017, 16394, 143, 10128, 151, 88090, 11290, 10785, 21028, 35365, 10150, 168, 170, 18101, 14138, 33979, 10429, 10307, 10698, 22226, 75739, 15966, 101, 102, 10354, 58227, 117, 43381, 119, 85497, 13693, 10111})","Krivični zakonik | Odgovornost pravnih lica za krivična dela | Odgovornost pravnih lica z a krivična dela, kao i sankcije pravnih lica za krivična dela uređuju se posebnim zakonom. ",Član 12  ,Krivični zakonik
"frozenset({0, 12161, 10247, 11017, 16394, 10378, 19481, 157, 13600, 10785, 21028, 11044, 10150, 91945, 170, 24746, 18101, 40887, 33979, 34113, 84545, 10307, 22226, 57432, 15966, 15713, 91107, 101, 39142, 102, 10218, 68459, 10732, 10222, 11760, 10354, 119, 122})",Krivični zakonik | Važenje opšteg dela ovog zakonika | Odredbe opšteg dela ovog zakonika važe za sva krivična dela određena ovim zakonikom ili drugim zakonom. 1. Opšte odredbe o krivičnom delu ,Član 13  ,Krivični zakonik
"frozenset({0, 12161, 10247, 11017, 16394, 35339, 10127, 10132, 11414, 151, 18711, 11290, 13211, 16541, 70301, 10785, 10402, 84643, 21028, 10149, 34853, 23591, 170, 28206, 52910, 10419, 22068, 18101, 40372, 10295, 57784, 10425, 33979, 34113, 10307, 28364, 42450, 18772, 57432, 10457, 15966, 10206, 38753, 55268, 101, 102, 113, 114, 14323, 22899, 117, 119, 82168, 122, 123})","Krivični zakonik | Krivično delo | (1) Krivično delo je ono delo koje je zakonom predviđeno kao krivično delo, koje je protivpravno i koje je skrivljeno. (2) Nema krivičnog dela ukoliko je isključena protivpravnost ili krivica, iako postoje sva obeležja krivičnog dela određena zakonom. ",Član 14  ,Krivični zakonik
"frozenset({0, 73986, 62586, 10247, 11017, 16394, 10378, 25225, 14477, 19081, 17164, 10128, 30355, 10261, 10134, 11414, 28696, 151, 11290, 13211, 157, 10141, 10785, 21028, 10149, 170, 39218, 18101, 72247, 57784, 33979, 60731, 15547, 28606, 60224, 10688, 58434, 10307, 16586, 13386, 30028, 25295, 14163, 18772, 10839, 10329, 15966, 10976, 38753, 12002, 16996, 101, 102, 12138, 22892, 113, 114, 14323, 117, 119, 82168, 122, 123, 49532, 12798})","Krivični zakonik | Izvršenje krivičnog dela nečinjenjem | (1) Krivično del o je učinjeno nečinjenjem kad zakon propuštanje da se preduzme određeno činjenje predviđa kao krivično delo. (2) Nečinjenjem može biti učinjeno i krivično delo koje je zakonom određeno kao činjenje, ako je učinilac propuštanjem dužnog činjenja ostvario ob eležja tog krivičnog dela. ",Član 15  ,Krivični zakonik
"frozenset({0, 12161, 73986, 10115, 69764, 11017, 16394, 25225, 60556, 14477, 143, 10132, 10261, 10141, 26270, 13853, 163, 21028, 10149, 17059, 170, 41005, 18101, 10295, 11191, 50873, 10167, 33979, 15547, 11199, 12225, 12621, 18772, 44373, 10839, 41180, 15966, 10976, 38753, 101, 55397, 102, 52077, 113, 114, 117, 39030, 119, 82168, 122, 123})","Krivični zakonik | Vreme izvršenja krivičnog dela | (1) Krivično delo je izvršeno u vreme kad je izvršilac radio ili bio dužan da radi, bez obzira kad je posledica dela nastupil a. (2) Saučesnik je krivično delo učinio u vreme kad je radio ili bio dužan da radi. ",Član 16  ,Krivični zakonik
"frozenset({0, 16394, 10261, 31768, 33819, 21028, 10281, 10295, 10310, 10316, 10839, 10329, 15966, 101, 102, 113, 114, 117, 39030, 119, 14965, 122, 123, 124, 11905, 69764, 25225, 60556, 146, 14995, 151, 18071, 26270, 17054, 163, 17059, 170, 10415, 18101, 50873, 33979, 79056, 41180, 10976, 19701, 82168, 93948, 73986, 11017, 82213, 14633, 30506, 57646, 39218, 17207, 12621, 18772, 44373, 17240, 38753, 14188, 52077, 16748, 12161, 10115, 10116, 10128, 10132, 10141, 10149, 10150, 32684, 10160, 11191, 10167, 10687, 12225, 10698, 21485, 14323, 14838, 16381, 15871})","Krivični zakonik | Mesto izvršenja krivičnog dela | (1) Krivično delo je izvršeno kako u mestu gde je izvršilac radio ili bio dužan da radi, tako i u mestu gde je u celini ili d elimično nastupila posledica dela. (2) Pokušaj krivičnog dela sm atra se izvršenim kako u mestu gde je učinilac radio, tako i u mestu gde je posledica po njegovom umišljaju trebalo da nastupi ili je mogla da nastupi. (3) Saučesnik je krivično delo učinio i u mestu u kojem je preduzeo radnju saučesništva. ",Član 17,Krivični zakonik
"frozenset({0, 16394, 10251, 21028, 34853, 23591, 12842, 45611, 11820, 28206, 10295, 14392, 23099, 43070, 15935, 10307, 10317, 10836, 10839, 55897, 15966, 101, 102, 113, 114, 10354, 117, 119, 122, 123, 124, 21630, 77957, 10375, 60556, 18572, 151, 77985, 84643, 168, 170, 31920, 18101, 10421, 33979, 31933, 10958, 22226, 22229, 15077, 39142, 82168, 14080, 33539, 11017, 21776, 11044, 13614, 14642, 21811, 14138, 77118, 22859, 18772, 38753, 15713, 71523, 12138, 58227, 22391, 10105, 10112, 12161, 10115, 73604, 21899, 10128, 17298, 12181, 52630, 10135, 13211, 10142, 10149, 38310, 10154, 79796, 10167, 10192, 69595, 19424, 91107, 10211, 16357, 10220, 63986, 10237, 12798})","Krivični zakonik | Delo malog zn ačaja | (1) Nije krivično delo ono delo koje, iako sadrži obeležja krivičnog dela, predstavlja delo malog značaja. (2) Delo je malog značaja ako stepen krivice nije visok, ako su štetne posledice odsutne ili neznatne i ako opšta svrha krivičnih sa nkcija ne zahteva izricanje krivične sankcije. (3) Odredbe st. 1. i 2. ovog člana mogu se primeniti na krivična dela za koja je propisana kazna zatvora do tri godine ili novčana kazna. ",Član 18  ,Krivični zakonik
