embedding,chunk,article,law
"frozenset({0, 19457, 10247, 16394, 51725, 21028, 11820, 10295, 62011, 43070, 15935, 10307, 13386, 10317, 10839, 55897, 10330, 15966, 101, 102, 114, 10354, 117, 119, 24186, 122, 124, 125, 126, 123, 127, 21630, 131, 132, 24200, 14477, 48782, 149, 163, 21672, 170, 20141, 10415, 18101, 33979, 40644, 10958, 14545, 34015, 10976, 28920, 82168, 14080, 14593, 73986, 33539, 11017, 16690, 11061, 14138, 60731, 20300, 18772, 25941, 27487, 10607, 49532, 12161, 10116, 10128, 10131, 13211, 53666, 64933, 10154, 19889, 57784, 46019, 10220, 14323, 10237, 12798})","Krivični zakonik | Zastarelost krivičnog gonjenja | Ako u ovom zakoniku nije drukčije određeno, krivično gonjenje ne može se preduzeti kad protekne: 1) dvadeset godina od izvršenja krivičnog dela za koje se po zakonu može izreći kazna zatvora preko petnaest godina; 2) petnaest godina od izvršenja krivično g dela za koje se po zakonu može izreći kazna zatvora preko deset godina; 3) deset godina od izvršenja krivičnog dela za koje se po zakonu može izreći kazna zatvora preko pet godina; 4) pet godina od izvršenja krivičnog dela za koje se po zakonu može izr eći kazna zatvora preko tri godine; 5) tri godine od izvršenja krivičnog dela za koje se po zakonu može izreći kazna zatvora preko jedne godine; 6) dve godine od izvršenja krivičnog dela za koje se po zakonu može izreći kazna zatvora do jedne godine ili novčana kazna. ",Član 103  ,Krivični zakonik
"frozenset({0, 16394, 10250, 10261, 16925, 54815, 55330, 10275, 21028, 12842, 41005, 21551, 91184, 20531, 62011, 51771, 10307, 36424, 13386, 79434, 10317, 12883, 10839, 57432, 63066, 15966, 101, 102, 113, 114, 10354, 117, 39030, 119, 17016, 122, 123, 124, 125, 126, 127, 25225, 17034, 10378, 60556, 14477, 48782, 10380, 146, 81043, 151, 16541, 26270, 163, 170, 10415, 10419, 18101, 33979, 10457, 27353, 41180, 10976, 10983, 60658, 12021, 20213, 82168, 15611, 15616, 14593, 73986, 14596, 46853, 53511, 11017, 13584, 10523, 14119, 14633, 39218, 11061, 60731, 16703, 15173, 20300, 12621, 14163, 18772, 25941, 17240, 38753, 12138, 14188, 49532, 10111, 12161, 10116, 37768, 79246, 10128, 10132, 10135, 13211, 64411, 10141, 12704, 53666, 10149, 10150, 13228, 11180, 17329, 10163, 11234, 10219, 10220, 14323})","Krivični zakonik | Tok i prekid zastarelosti krivičnog gonjenja | (1) Zastarelost krivičnog gonjenja počinje od dana kad je krivično delo izvršeno. Ukoliko posledica krivičnog dela nastupi kasnije, zastarelost krivičnog gonjenja počinje od dana kada je posledica nastupila. (2) Zastarelost ne teče za vreme za koje se po zakonu gonjenje ne može otpočeti ili nastaviti. (3) Zastarelost se prekida svakom procesnom radnjom koja se preduzima radi otkrivanja krivičnog dela ili radi otkrivanja i gonjenja uči nioca zbog učinjenog krivičnog dela. (4) Zastarelost se prekida i kad učinilac u vreme dok teče rok zastarelosti učini isto tako teško ili teže krivičnog delo. (5) Svakim prekidom zastarelost počinje ponovo da teče. (6) Zastarelost krivičnog gonjenja na staje u svakom slučaju kad protekne dvostruko vreme koje se po zakonu traži za zastarelost krivičnog gonjenja. ",Član 104  ,Krivični zakonik
"frozenset({0, 19457, 10247, 16394, 86044, 21028, 10282, 11820, 10295, 43070, 15935, 10307, 10311, 13386, 10317, 12883, 10839, 55897, 15966, 101, 102, 114, 117, 119, 20089, 122, 123, 124, 125, 21630, 126, 127, 131, 132, 24200, 14477, 48782, 17562, 163, 21672, 170, 20141, 15540, 33979, 40644, 10958, 14545, 33491, 34015, 10976, 28920, 14080, 14593, 73986, 11017, 16690, 11061, 14138, 20300, 25941, 10607, 10111, 12161, 10629, 12798, 59271, 10128, 10135, 10136, 64411, 64933, 95655, 10154, 19889, 81845, 57784, 36801, 26049, 46019, 10206, 10220, 18928, 10237, 19454})","Krivični zakonik | Zastarelost izvršenja kazne | Ako u ovom zakoniku nije drukčije određeno, izrečena kazna ne može se izvršiti kad protekne: 1) dvadeset godina od osude na kaznu zatvora preko petnaest godina; 2) petnaest godina od osude na kaznu zatvora preko deset godina; 3) deset godina od osude na kaznu zatvora preko pet godina; 4) pet godina od osude na kaznu zatvora preko tri godine; 5) tri godine od osude na kaznu zatvora preko jedne godine; 6) dve godine od osude na kaznu zatvora do jedne godine, na novčanu kaznu, na kaznu rada u javnom interesu, ili na kaznu oduzimanja vozačke dozvole. ",Član 105  ,Krivični zakonik
"frozenset({0, 86017, 19457, 57346, 16394, 23060, 25109, 11801, 11290, 74266, 13853, 16928, 21028, 30757, 10281, 29738, 41005, 10295, 43575, 14911, 10307, 10311, 49238, 10839, 13913, 10330, 15966, 24676, 101, 102, 113, 114, 10354, 117, 119, 122, 123, 124, 62586, 21118, 21630, 16002, 14477, 48782, 64655, 144, 40085, 151, 30871, 17562, 67227, 13469, 13473, 37538, 163, 10402, 168, 170, 20141, 47790, 10415, 15540, 18101, 33979, 10428, 20675, 30921, 10958, 12504, 91866, 52956, 10976, 11499, 45808, 35573, 56060, 34048, 14593, 73986, 11017, 24852, 19733, 12054, 42786, 16690, 72500, 11061, 10238, 39227, 72508, 16703, 47429, 20300, 14163, 25941, 64348, 15714, 10107, 10111, 10112, 10116, 10629, 13704, 66952, 10135, 64411, 13211, 12704, 10150, 95655, 10154, 13228, 11695, 94643, 36801, 26049, 10700, 26061, 10192, 10707, 13784, 10206, 54755, 10220, 12780, 12283, 10237, 12798})","Krivični zakonik | Zastarelost izvršenja sporedne kazne i mere b ezbednosti | (1) Zastarelost izvršenja novčane kazne i oduzimanja vozačke dozvole ako su izrečene kao sporedne kazne nastaje kad protekne dve godine od dana pravnosnažnosti presude kojom su te kazne izrečene. (2) Zastarelost izvršenja mere bezbed nosti obaveznog psihijatrijskog lečenja i čuvanja u zdravstvenoj ustanovi, obaveznog psihijatrijskog lečenja na slobodi, obaveznog lečenja narkomana, obaveznog lečenja alkoholičara i oduzimanja predmeta nastaje kad protekne pet godina od dana pravnosnažnos ti odluke kojom su te mere izrečene. (3) Zastarelost izvršenja mera bezbednosti zabrane vršenja poziva, delatnosti i dužnosti, zabrane upravljanja motornim vozilom i proterivanja stranca iz zemlje nastaje kad protekne vreme za koje su te mere izrečene. ",Član 106  ,Krivični zakonik
"frozenset({0, 73986, 53511, 13704, 11017, 16394, 10763, 10250, 14477, 48782, 64655, 143, 151, 27287, 48282, 10523, 86044, 16925, 13853, 19615, 157, 55330, 42786, 21028, 10149, 95655, 170, 89775, 10163, 15540, 10295, 20151, 33979, 16703, 15935, 10305, 10307, 47429, 30921, 20300, 18513, 25941, 10839, 13784, 13913, 119, 15966, 10206, 10976, 47456, 101, 102, 37102, 12021, 117, 118, 10237, 12798})","Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost izvršenja kazne počinje od dana kad je presuda kojom je kazna izrečena postala pravnosnažna, a ako je uslovna osuda opozvana - od dana kad je odluka o opozivanju postala pravnosnažna. ",Član 107  ,Krivični zakonik
"frozenset({0, 12161, 73986, 64644, 53511, 10247, 11017, 16394, 10378, 13704, 48399, 10128, 75793, 19733, 86422, 151, 10136, 10523, 16925, 13853, 19999, 10785, 42786, 10147, 21028, 10149, 10150, 60327, 95655, 170, 49835, 63660, 41005, 72878, 10415, 17454, 11435, 10163, 15540, 48179, 10295, 33979, 10428, 86589, 11454, 15935, 10307, 20675, 47429, 30921, 20300, 14413, 66640, 12883, 25941, 10839, 13784, 11992, 10330, 13913, 15966, 10206, 10976, 101, 102, 10345, 12138, 14956, 10354, 12021, 117, 119, 10237, 12798})","Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Ako je aktom amnestije ili pomilovanja ili odlukom suda po vanrednom pravnom leku izrečena kazna smanjena, vreme potrebno za nastupanje zastarelosti određuje se prema novoj kazni, ali se tok zastarelosti računa od ranije pravnosnažne presude. ",Član 107  ,Krivični zakonik
"frozenset({0, 73986, 53511, 11017, 16394, 10378, 48782, 10128, 81043, 151, 10523, 13211, 16925, 13853, 21028, 170, 41005, 10415, 10163, 15540, 10295, 33979, 62011, 47429, 30921, 13386, 20300, 10317, 25941, 10839, 13784, 10330, 15966, 27487, 10976, 101, 102, 10354, 14323, 12021, 119, 10237})",Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost ne teče za vreme za koje se po zakonu izvršenje kazne ne može preduzeti. ,Član 107  ,Krivični zakonik
"frozenset({10112, 0, 73986, 53511, 11017, 16394, 10250, 10380, 48782, 10128, 151, 10523, 64411, 16925, 13853, 26270, 84643, 21028, 170, 12842, 13228, 91184, 10163, 15540, 10295, 33979, 21314, 47429, 30921, 20300, 14163, 25941, 10839, 13784, 57432, 17240, 15966, 10976, 101, 102, 12145, 14323, 12021, 119, 10237})",Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost se prekida svakom radnjom nadležnog organa koja se preduzima radi izvršenja kazne. ,Član 107  ,Krivični zakonik
"frozenset({0, 73986, 53511, 11017, 16394, 17034, 81043, 151, 10523, 16925, 13853, 54815, 10141, 55330, 21028, 10150, 170, 10163, 15540, 10295, 33979, 47429, 30921, 20300, 25941, 10839, 13784, 15966, 10976, 101, 102, 60658, 18036, 12021, 119, 10237})",Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Svakim prekidom zastarevanje počinje ponovo da teče. ,Član 107  ,Krivični zakonik
"frozenset({0, 86017, 73986, 14593, 46853, 53511, 37768, 11017, 16394, 14477, 48782, 10128, 146, 10132, 151, 10523, 13211, 16925, 13853, 163, 21028, 170, 13228, 41005, 11180, 10415, 10163, 15540, 11061, 10295, 33979, 62011, 47429, 30921, 20300, 25941, 10839, 13784, 57432, 63066, 15966, 10976, 11234, 101, 102, 10220, 10354, 12021, 119, 10237})",Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Zastarelost izvršenja kazne nastaje u svakom slučaju kad protekne dvostruko vreme koje se po zakonu traži za zastarelost izvršenja kazne. ,Član 107  ,Krivični zakonik
"frozenset({10112, 0, 73986, 53511, 11017, 16394, 10378, 13584, 10128, 17298, 151, 30871, 10523, 38811, 16925, 13853, 12704, 163, 21028, 170, 87088, 10163, 15540, 10295, 33979, 86589, 47429, 30921, 20300, 25941, 10839, 13784, 63066, 15966, 10976, 10978, 101, 39142, 102, 49776, 10354, 12021, 119, 10237, 127})",Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | U slučaju nastupanja zastarelosti iz stava 6. ovog člana započeto izvršenje kazne obustavlja se. ,Član 107  ,Krivični zakonik
"frozenset({10112, 0, 73986, 53511, 11017, 16394, 83213, 48782, 10128, 17298, 151, 10135, 10523, 16925, 13853, 21028, 11044, 170, 10154, 14642, 10163, 15540, 10295, 33979, 14911, 10307, 47429, 30921, 10698, 20300, 10836, 25941, 10839, 13784, 15966, 40030, 10976, 15713, 101, 39142, 102, 16381, 12021, 119, 123, 10237, 126})",Krivični zakonik | Tok i prekid zastarelosti izvršenja kazne i mera bezbednosti | Odredbe st. 2. do 5. ovog člana shodno se primenjuju i na zastarelost izvršenja mere bezbednosti. ,Član 107  ,Krivični zakonik
"frozenset({0, 24705, 73986, 10116, 11017, 16394, 10378, 18572, 20109, 82446, 48782, 11414, 151, 11290, 13211, 10141, 13600, 53666, 163, 21028, 10149, 38310, 10150, 170, 10154, 12842, 10415, 36144, 10237, 15540, 18101, 49718, 10295, 33979, 60731, 23611, 43070, 15935, 34113, 12611, 90564, 13386, 20300, 10317, 12621, 14543, 25424, 22226, 11218, 18772, 25941, 14163, 10839, 55897, 62554, 15966, 33631, 10976, 101, 39142, 102, 10219, 26604, 10354, 14323, 63986, 117, 39030, 119, 82168, 23547, 49532, 20989})","Krivični zakonik | Nezastarelost krivičnog gonjenja i izvršenja kazne | Krivično gonjenje i izvršenje kazne ne zastarevaju za krivična dela predviđena u čl. 370. do 375. ovog zakonika, za krivična dela za koje je propisana kazna doživotnog zatvora, kao ni za krivična dela za koja po ratifikovanim međunarodnim ugovorima zastarelost ne može da nastupi. ",Član 108  ,Krivični zakonik
"frozenset({0, 10243, 16394, 23060, 40470, 33819, 86044, 13853, 10785, 21028, 30757, 10281, 12842, 10295, 12863, 15935, 14911, 10307, 10839, 10329, 10330, 59997, 15966, 24676, 101, 102, 10345, 49776, 113, 114, 10354, 18036, 117, 27254, 119, 122, 123, 12412, 45180, 73342, 62586, 131, 10378, 60556, 143, 147, 151, 30871, 17562, 67227, 13469, 10402, 170, 70315, 13482, 10415, 10419, 15540, 10421, 18101, 11449, 33979, 11454, 11976, 30921, 48334, 12504, 10976, 82168, 34555, 34048, 73986, 11017, 48399, 38161, 24852, 13589, 12054, 11548, 42786, 13614, 11061, 11068, 25410, 53575, 73049, 64348, 71523, 22391, 49532, 25982, 12161, 59266, 10128, 11162, 12704, 53666, 10150, 95655, 10163, 20409, 11719, 10698, 10700, 35279, 10192, 13784, 10206, 10211, 55276, 10220, 14326, 10237})","Krivični zakonik | Amnestija | (1) Licim a koja su obuhvaćena aktom amnestije daje se oslobođenje od krivičnog gonjenja ili potpuno ili delimično oslobođenje od izvršenja kazne, zamenjuje se izrečena kazna blažom kaznom, daje se rehabilitacija ili se ukidaju pojedine ili sve pravne posledice osud e. (2) Amnestijom se mogu ukinuti sledeće mere bezbednosti: zabrana vršenja poziva, delatnosti i dužnosti, zabrana upravljanja motornim vozilom i proterivanje stranaca iz zemlje. ",Član 109  ,Krivični zakonik
"frozenset({0, 10247, 16394, 10763, 23060, 40470, 33819, 86044, 13853, 21028, 10281, 10282, 10295, 32319, 15935, 14911, 10307, 13386, 12883, 10839, 10329, 10330, 59997, 15966, 24676, 101, 102, 113, 114, 10354, 21617, 117, 27254, 119, 122, 123, 12412, 45180, 73342, 62586, 17034, 60556, 44177, 27287, 151, 30871, 17562, 67227, 13469, 10402, 170, 70315, 49835, 72878, 10415, 10419, 15540, 18101, 11449, 33979, 11976, 30921, 48334, 12504, 10976, 82168, 56060, 34048, 73986, 11017, 24852, 13589, 12054, 11548, 38685, 42786, 13614, 11061, 11575, 11068, 53575, 18772, 73049, 64348, 71523, 12138, 49532, 12161, 10128, 13204, 11162, 12704, 53666, 10150, 95655, 83887, 57784, 20409, 11719, 10698, 10700, 52690, 13784, 10206, 11234, 10211, 10218, 55276, 48108, 10220, 14326, 10237})","Krivični zakonik | Pomilovanje | (1) Pomilovanjem se poimenično određenom licu daje oslobođenje od krivičnog gonjenja ili potpuno ili delimično oslobođenje od izvršenja kazne, zamenjuje se izrečena kazna blažom kaznom ili uslovnom osudom, daje se rehabilitacija, određuje kraće trajanje od ređene pravne posledice osude ili se ukidaju pojedine ili sve pravne posledice osude. (2) Pomilovanjem se može ukinuti ili odrediti kraće trajanje mere bezbednosti zabrana vršenja poziva, delatnosti i dužnosti, zabrana upravljanja motornim vozilom i prote rivanje stranca iz zemlje. ",Član 110  ,Krivični zakonik
"frozenset({10112, 12161, 0, 10243, 73091, 66950, 24200, 11017, 16394, 10378, 10128, 10135, 151, 10777, 86044, 77985, 163, 21028, 170, 12842, 72878, 10415, 48179, 73781, 77110, 33979, 11454, 68416, 15562, 10698, 10317, 25295, 14545, 25941, 72405, 119, 10330, 15966, 10978, 101, 102, 10345, 71791, 10102, 24567, 63103})",Krivični zakonik | Dejstvo amnestije i pomilovanja na prava trećih lica | Davanjem amnestije ili pomilovanja ne dira se u prava trećih lica koja se zasnivaju na osudi. Glava dvanaesta ZNAČENJE IZRAZA ,Član 111  ,Krivični zakonik
"frozenset({10112, 21633, 11266, 28160, 0, 24453, 11017, 16394, 12555, 49423, 10128, 48787, 151, 11290, 77985, 163, 21028, 170, 61869, 36144, 19889, 40244, 33979, 46019, 67779, 29510, 14412, 72405, 44373, 28636, 15966, 51423, 101, 102, 48362, 51435, 10220, 10222, 12145, 51060, 117, 36342, 119, 66298, 25982, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Pod teritorijom Srbije podrazumevaju se suvozemna teritorija, vodene površine unutar njenih granica, kao i vazdušni prostor nad njima. ",Član 112  ,Krivični zakonik
"frozenset({10112, 21633, 11266, 0, 11017, 16394, 35339, 20495, 10128, 13589, 151, 11290, 16668, 77985, 22690, 163, 21028, 11044, 14628, 170, 24746, 36144, 19889, 33979, 72508, 46019, 10307, 12611, 51916, 18772, 72405, 28636, 15966, 15713, 24163, 101, 102, 48362, 33259, 10220, 119, 63103})",Krivični zakonik | Značenje izraza u ovom zakoniku | Pod krivičnim zakonodavstvom Srbije podrazumevaju se ovaj zakonik kao i sve krivičnopravne odredbe sadržane u drugim zakonima Srbije. ,Član 112  ,Krivični zakonik
"frozenset({0, 10243, 65541, 16394, 25109, 18457, 11290, 88090, 79388, 60443, 10275, 21028, 58410, 10307, 16464, 12883, 15446, 10839, 10329, 69212, 15966, 101, 16997, 102, 114, 117, 119, 20089, 62586, 10362, 122, 123, 124, 63103, 64640, 125, 10370, 131, 132, 11905, 19590, 126, 10378, 10380, 44686, 11407, 151, 67227, 157, 77985, 37538, 163, 36007, 170, 52910, 10415, 44206, 10421, 33979, 62663, 33491, 72405, 12504, 91866, 10459, 75996, 13533, 10976, 16104, 45292, 15088, 12537, 73986, 11017, 24847, 83754, 30506, 11567, 37685, 11575, 12611, 73049, 91994, 27487, 67425, 10601, 61301, 87935, 10112, 12161, 73091, 10116, 49541, 66952, 10128, 87953, 10132, 10133, 10136, 16281, 11162, 13211, 10149, 12714, 28592, 19889, 34742, 13241, 46019, 34768, 13784, 49117, 85470, 23518, 36324, 81895, 12268, 89587, 14323, 13306})","Krivični zakonik | Značenje izraza u ovom zakoniku | Službenim licem smatra se: 1) lice koje u državnom or ganu vrši službene dužnosti; 2) izabrano, imenovano ili postavljeno lice u državnom organu, organu lokalne samouprave ili lice koje stalno ili povremeno vrši službene dužnosti ili službene funkcije u tim organima; 3) javni beležnik, javni izvršitelj i ar bitar, kao i lice u ustanovi, preduzeću ili drugom subjektu, kojem je povereno vršenje javnih ovlašćenja, koje odlučuje o pravima, obavezama ili interesima fizičkih ili pravnih lica ili o javnom interesu; 4) službenim licem smatra se i lice kojem je fakti čki povereno vršenje pojedinih službenih dužnosti ili poslova; 5) vojno lice. ",Član 112  ,Krivični zakonik
"frozenset({10112, 12161, 73986, 80515, 0, 19590, 11017, 16394, 10251, 29836, 20495, 10128, 17298, 12691, 48787, 10133, 10131, 11159, 151, 22809, 11162, 13211, 11290, 18425, 42142, 23454, 160, 77985, 163, 21028, 10149, 10150, 85801, 170, 83754, 12332, 19889, 37685, 10421, 56118, 33979, 10428, 49597, 21314, 46019, 46277, 61258, 14412, 10190, 20175, 66640, 25424, 11218, 72405, 10839, 12504, 47320, 11741, 15966, 101, 102, 14952, 117, 119, 37241, 56060, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Stranim službenim licem smatra se lice koje je član, funkcioner ili službenik zakonodavnog ili izvršnog organa strane države, lice koje je sudija, porotnik, član, funkcione r ili službenik suda strane države ili međunarodnog suda, lice koje je član, funkcioner ili službenik međunarodne organizacije i njenih organa, kao i lice koje je arbitar u stranoj ili međunarodnoj arbitraži. ",Član 112  ,Krivični zakonik
"frozenset({0, 10247, 16394, 30738, 25109, 10261, 11290, 60443, 21028, 10281, 58410, 22068, 10307, 46154, 32848, 12883, 10839, 10329, 15966, 101, 102, 117, 27254, 119, 62586, 63103, 19590, 10380, 14477, 143, 58515, 11414, 30871, 151, 27287, 67227, 68763, 157, 77985, 163, 170, 10415, 23731, 86196, 10421, 18101, 48314, 33979, 51916, 22226, 72405, 12504, 10459, 10462, 74471, 34048, 73986, 11017, 12054, 66332, 42786, 17704, 83754, 79147, 37685, 11575, 34113, 22864, 14163, 38237, 67425, 52077, 12145, 87935, 10112, 12161, 73091, 14733, 10128, 10132, 10135, 11162, 13211, 12704, 10144, 10149, 19889, 34742, 46019, 71108, 10698, 10700, 10192, 52690, 13784, 75739, 43484, 23518, 63986, 14323, 24562, 13306})","Krivični zakonik | Značenje izraza u ovom zakoniku | Odgovornim licem u pravnom licu smatra se lice koje na osnovu zakona, propisa ili ovlašćenja vrši određene poslove upravljanja, nadzora ili druge poslove iz delatnosti pravnog lica, kao i lice kome je faktički povereno obavljanje tih poslov a. Odgovornim licem smatra se i službeno lice kad su u pit anju krivična dela kod kojih je kao izvršilac označeno odgovorno lice, a u ovom zakoniku nisu predviđena u glavi o krivičnim delima protiv službene dužnosti, odnosno kao krivična dela službenog lica. ",Član 112  ,Krivični zakonik
"frozenset({0, 11266, 10247, 16394, 10251, 11290, 21028, 11821, 53303, 17466, 12346, 10307, 32835, 10839, 10329, 15966, 101, 102, 113, 85106, 114, 117, 119, 17016, 62586, 63103, 19590, 10378, 39051, 149, 151, 67227, 77985, 37538, 163, 170, 10415, 10421, 33979, 15547, 10428, 13007, 15055, 72405, 10459, 28914, 22280, 11017, 85270, 79135, 85279, 25903, 37685, 49982, 34135, 12646, 22899, 10108, 13693, 10112, 21893, 49541, 30599, 10128, 10131, 10135, 10136, 11162, 13211, 73125, 10150, 19889, 10165, 10167, 17849, 10177, 46019, 90564, 10698, 11741, 56803, 11760, 45045})","Krivični zakonik | Značenje izraza u ovom zakoniku | Vojnim licem smatra se profesionalni vojnik (profes ionalni oficir, profesionalni podoficir, oficir po ugovoru, podoficir po ugovoru i vojnik po ugovoru), vojnik na odsluženju vojnog roka, student vojne akademije, učenik vojne škole, lice iz rezervno g sastava dok se kao vojni obveznik nalazi na vojnoj dužno sti i civilno lice koje vrši određenu vojnu dužnost. ",Član 112  ,Krivični zakonik
"frozenset({10112, 12161, 73986, 73091, 0, 49541, 12798, 10247, 11017, 16394, 19081, 10251, 14477, 22391, 66448, 17298, 10261, 52630, 151, 11290, 11162, 10141, 12702, 77985, 163, 21028, 10149, 10532, 34853, 17704, 84643, 170, 79147, 83754, 43948, 48686, 10415, 19889, 18101, 10421, 10295, 11061, 48314, 33979, 16699, 46019, 10307, 79430, 13386, 10317, 10836, 72405, 10839, 10329, 73049, 75739, 15966, 10462, 73827, 101, 39142, 102, 52077, 127, 20463, 15088, 63986, 117, 119, 124, 126, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Kad je kao izvršilac određenih krivičnih dela označeno službeno lice, odgovorno lice ili vojno lice, lica navedena u st. 3, 5. i 6. ovog člana mogu biti izvršioci tih dela, ako iz obeležja pojedinog dela ili iz pojedinog propisa ne proizilazi da izvršilac može biti samo neko od tih lica. ",Član 112  ,Krivični zakonik
"frozenset({10112, 14080, 0, 15749, 11017, 16394, 10128, 35481, 11162, 13211, 77985, 10274, 163, 21028, 10150, 170, 19889, 16690, 37685, 10421, 33979, 10687, 46019, 20804, 14794, 13518, 72405, 15966, 101, 102, 14324, 119, 63103})",Krivični zakonik | Značenje izraza u ovom zakoniku | Detetom se smatra lice koje nije navršilo četrnaest godina. ,Član 112  ,Krivični zakonik
"frozenset({10112, 14080, 0, 15749, 24200, 11017, 16394, 143, 10128, 35481, 11162, 13211, 77985, 163, 21028, 10149, 93353, 170, 19889, 16690, 37685, 10421, 33979, 10687, 46019, 14794, 22859, 13518, 70100, 72405, 15966, 101, 13158, 102, 10607, 14324, 117, 119, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Maloletnikom se smatra lice koje je navršilo četrnaest godina, a nije navršilo osamnaest godina . ",Član 112  ,Krivični zakonik
"frozenset({10112, 14080, 0, 15749, 19590, 24200, 11017, 16394, 10128, 35481, 11162, 13211, 77985, 163, 21028, 93353, 170, 19889, 16690, 37685, 10421, 33979, 10687, 46019, 22859, 72405, 12504, 15966, 101, 13158, 102, 10607, 119, 63103})",Krivični zakonik | Značenje izraza u ovom zakoniku | Maloletnim licem smatra se lice koje nije navršilo osamnaest godina. ,Član 112  ,Krivični zakonik
"frozenset({10112, 0, 73986, 11266, 19590, 11017, 16394, 25225, 10128, 10261, 83990, 151, 12831, 77985, 44449, 163, 21028, 17059, 170, 10415, 19889, 33979, 46019, 10311, 31183, 72405, 10839, 15966, 101, 102, 52077, 117, 10358, 119, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Učiniocem se smatraju izvršilac, saizvršilac, podstrekač i pomagač. ",Član 112  ,Krivični zakonik
"frozenset({10112, 12161, 12928, 10243, 0, 11399, 11017, 16394, 10378, 16780, 13193, 10128, 33044, 10390, 151, 49563, 10141, 28573, 77985, 10785, 163, 21028, 161, 10537, 170, 26795, 10282, 19889, 14642, 22068, 37685, 33979, 67392, 46019, 79430, 43462, 10698, 16591, 72405, 18774, 16471, 119, 10329, 15966, 10206, 43615, 21602, 101, 102, 25708, 10732, 10354, 16500, 117, 29684, 20213, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Silom se smatra i primena hipnoze ili omamljujućih sredstava, s ciljem da se neko protiv svoje volje dovede u nesvesno stanje ili onesposobi za otpor. ",Član 112  ,Krivični zakonik
"frozenset({10112, 26368, 0, 10499, 10116, 11396, 11017, 16394, 10128, 10131, 83990, 151, 10135, 67227, 76318, 77985, 87969, 163, 21028, 170, 10415, 19889, 86196, 10167, 33979, 11068, 46019, 12611, 10698, 34768, 40017, 14929, 80339, 12883, 72405, 15446, 10839, 13657, 78041, 43484, 15966, 23518, 101, 18662, 85478, 102, 17257, 16491, 10220, 59630, 15088, 10352, 10354, 89587, 117, 119, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Izborima se smatraju izbori za narodne poslanike, predsednika Republike, organe autonomne pokr ajine i jedinice lokalne samouprave i drugi izbori koji se raspisuju i vrše na osnovu Ustava i zakona. ",Član 112  ,Krivični zakonik
"frozenset({10112, 12161, 10114, 73986, 0, 11017, 16394, 10128, 11413, 10135, 157, 12704, 77985, 27297, 163, 21028, 10785, 10149, 170, 30506, 12842, 11567, 28592, 19889, 37685, 94647, 57784, 12601, 33979, 88639, 46019, 10307, 30028, 72405, 10839, 78041, 15966, 10206, 29280, 101, 102, 10354, 18036, 119, 63103})",Krivični zakonik | Značenje izraza u ovom zakoniku | Referendumom se smatra izjašnjavanje građana na kojem se odlučuje o pitanjima za koja je to utvrđeno Ustavom ili zakonom. ,Član 112  ,Krivični zakonik
"frozenset({10112, 0, 11396, 11017, 16394, 10380, 10128, 151, 10135, 22809, 19999, 77985, 10785, 163, 21028, 24742, 170, 24746, 32684, 19889, 55731, 10421, 11061, 10111, 72762, 33979, 62011, 88893, 10305, 46019, 15940, 10819, 10698, 94029, 10192, 14802, 72405, 25941, 12504, 37721, 10330, 15966, 11234, 34404, 101, 102, 58215, 63980, 45808, 61937, 28786, 63986, 29554, 10354, 119, 63103})",Krivični zakonik | Značenje izraza u ovom zakoniku | Opojnim drogama sma traju se supstance i preparati koji su zakonom i drugim propisom zasnovanim na zakonu proglašeni za opojne droge i ostale psihoaktivne kontrolisane supstance. ,Član 112  ,Krivični zakonik
"frozenset({10112, 12161, 11266, 0, 11397, 53511, 11017, 16394, 11660, 67469, 94607, 10128, 86422, 151, 11290, 12704, 77985, 163, 21028, 45992, 76585, 170, 10415, 19889, 37685, 11061, 42039, 63544, 33979, 71485, 52414, 68416, 46019, 95171, 31436, 14413, 12883, 75220, 72405, 15446, 15966, 23134, 11102, 79330, 101, 102, 16234, 12138, 87021, 10354, 117, 119, 63103})","Krivični zakonik | Značenje izraza u ovom zakoniku | Pokretnom stvari se smatra i svaka proizvedena ili sakupljena energija za davanje svetlosti , toplote ili kretanja, telefonski impuls, kao i računarski podatak i računarski program. ",Član 112  ,Krivični zakonik
